piano_ids,song_ids,genre
kvRVRMPcT0g,J1BaPp_zkC0,modernlaiko
UhMcCV75JQA,mGxeHlGL3T0,pop
NElP02yLebc,yYNELlN4XF0,pop
YP-iMb_wY74,Uhm8HI8LWQ8,modernlaiko
Jc51un7hulk,Lfexh_shq48,laiko
atO7kJWi2fQ,g6czouHvF3Y,entekhno
imOxI0WwsLw,hYxk6t6bkWI,entekhno
1dE0C_skAXQ,gDqVgtPzndI,modernlaiko
ovqLl8YiSfk,-p9jmLVfHXs,rock
ZNylSgXbiYQ,38cUR2FMloQ,modernlaiko
9XclDDKTrwI,aCoaPPOVORM,pop
jBIhrqwMYZk,xzlF-PWg-6k,laiko
rHeJIwazWj8,kdI9mg2s4wQ,laiko
ldYoGLmVG64,l8JzuSXs0GU,laiko
sqsn1utJGeg,bPjIiy99KUU,entekhno
vHAwNu29u6g,2XlOEH9_lS8,laiko
spqL0DZ20dk,CKBvVYDviZ4,laiko
fFfqD1vy2Oo,WDbrzIpYCKk,modernlaiko
Oo2jPiIxsb0,YtyoJHmVfyg,modernlaiko
wWlDlX_vVzA,X8jSAzj5qd4,entekhno
LjZVtSjkWBA,4hTRBtXBlN0,modernlaiko
t6tg10Odo2Y,V1FA6ifutMs,modernlaiko
UM8hcFaemtU,PpZmkP-oV3E,modernlaiko
0akkrGKQhSE,1s0MIjHGMxQ,laiko
nbcYT7W23_A,hOv3rWtd7uU,laiko
IXl228qSXpY,nzSjGLAVQpY,laiko
6lRiHyEBF2Q,_c495L22e1E,laiko
7kRwfSh3MPA,DnOf7ROQfS4,entekhno
g3y-cA8L6oc,u5Ze9m1TkkY,entekhno
QEGG5VA6rjk,xy1BlhKLL-w,rock
zsPQI81Uwac,6iYmTqbNMYc,modernlaiko
_qaMBShEIeU,lujK0jMhxpQ,laiko
JsceNRyoURE,BE_u24hJm1A,laiko
n65Z0DtpBf0,DgFM5W52qU8,modernlaiko
Dr92oh_PTjA,Lk2gd8LyPg8,laiko
QPephYuSNDo,3SsZn10OP6U,laiko
XEfpyMWeWNQ,ECVrVj2iuNk,enallaktiko
MbLqpY5C4e4,1GqU8FltjYE,entekhno
xL2J7rJcXE4,0NbNZgWYkos,modernlaiko
VvH3vIxsntE,Rgqs3tyzEvw,laiko
CWtYP_SAEs0,Eqr_mfJrqy4,modernlaiko
aLlyuVMDPD4,wfXNmWSmLEQ,enallaktiko
5diLeyovPuM,Q2Xz9mB4fXg,laiko
jgN1IkpTS9Q,jWRbbHe1ryU,laiko
Y2rpflOR1kQ,OtFiUekBuic,laiko
SHsx2RLLDAY,1jf_hPySF-c,laiko
gXMFusbGNQI,4ztNnwbXJjw,laiko
F0gFPPWx4MM,pyIWeg4_K60,laiko
SLiUOcas9mc,DeBpvQ2iK18,laiko
ewidmD-E_Tw,UqmpEhSIHMU,laiko
cRsB5gJbJsM,1Ba3fOvlruU,modernlaiko
Gk2R7GfW68M,nAde8qinsgc,laiko
OfxXX23qCrM,7synIC_7zZI,enallaktiko
hFxOhecbWU8,XkUQd4qT-ak,laiko
qR90AZwBjyM,AUPDZe8yz_A,laiko
Z0SjxflYQ84,BOpEI31otCI,laiko
CM6splFp7yg,kCSvBDouFF0,enallaktiko
wuzd31D5TjU,Dm4rNlHof1M,enallaktiko
VvfAKZCKC0w,6Y5i2qWpMqg,entekhno
KJDD5LaWLmg,osiSkl7cyNc,laiko
nhCSMwR0uF4,XHBva7lL--g,laiko
a1CwBPv6ejw,1LnqXZXcMRc,laiko
Oxs1TQA-huc,_UNsAbRURlU,laiko
f5ushKKlvaw,CRmv1bNuITU,laiko
TXSW5EhNXc4,ZvUjeecIg4w,hiphop
e3XeW5PstI0,T9QSC8S8q94,enallaktiko
ug-4w4xZLiQ,YdhKi7Pwxb0,laiko
5otNq9F3O3M,qcadb5Kp-X8,laiko
FwAPpUHTNLM,kuhLIS_TPmQ,modernlaiko
P8e8wlIFu5w,sQ5H6T2VHdM,modernlaiko
jKz-FCMFUgY,Dsfvf_bg_W4,laiko
iV-W8TDdAQw,KHaaJwGDIeI,modernlaiko
NkdGS8P3U5g,Z8tZBIEP7Rk,modernlaiko
mXXKn-DcdCo,cdin7Yx88ew,modernlaiko
u1t_gE62fEc,aP7iMOni_i8,laiko
lR3ToaWiqm8,oiRKof--_iI,entekhno     
tdoYI4wKJ8A,L76O9-oNPZA,rock
VF_eVzMX218,npOLeqpGlmg,entekhno
6WAhkV3n1uQ,yVok8hDmAuk,laiko
3XYaw0HU4vQ,_p1zOSsgiMk,modernlaiko
7V727poiMBI,6Cr4QjnS6Qk,laiko
AW5ouruO0g0,4Ohvtg7jFf8,modernlaiko
BVcltaK3cFI,EMglTF5QE98,laiko
o4v0XWFIeKQ,oP5Fu9F7HXM,laiko
eZtqB91_RD8,dSKjLKdYGiA,enallaktiko
yQbOgopymp4,KbgCvtUgm34,laiko
86ITOoQJ_A0,7pCV9Vymi0I,modernlaiko
0n7900SWVwE,MV3JFzF4nWg,laiko
4_6WMca-C2k,LG8k7-Dyu0k,enallaktiko
DweLtUFv52g,0mGQiUze9SU,rembetiko
rRz4WLvC5g4,5wTeHSX87kU,modernlaiko
Cl3b0BLZ-2o,4JRDUSytNaQ,rock
0FmrQfKrUtw,68OLG_Aygk4,entekhno
lVJ_TqyJvE4,-jcIUyLtkCI,laiko
_DzuY0w7WOI,bW_idAmJbYc,modernlaiko
NHiSXzqGQhc,H10nRjwOdj8,entekhno
rg7WjVzZMlA,yV3qgUWJvhw,entekhno
dEtJzDaB-oE,u_49zgOVifY,entekhno
XH_qEp0h8zw,4LyUe0fd-ig,enallaktiko
S1ABV27sD-s,ozX_IJLk9g8,laiko
9PIJ0BzdGAI,C1pSzzqXoNQ,laiko    
M8fAXK3xt2s,Twmd0PgBnqQ,laiko
TsZecJO-O_o,76fmaYjasXw,laiko
ggRLQ7995KA,nAPUtEIvtIs,laiko
pJoMrUyIygg,FIRUSAi7OuA,modernlaiko
KrHY5DiKcpM,nkRWhvly7vo,modernlaiko
fa8CAByo_pE,omKTw9mGdmk,modernlaiko
uo2Q-Rceqw4,BL74eKGkGXw,modernlaiko
Efmk2xL7ilU,2TZefmw9m8g,rock
eBwrV0nMAxI,mTSTnLWGUPs,pop             
lLnfJfdWWGk,FcM0ieJJrbA,entekhno
gItHVFONzwg,ORxiXubzlkI,pop
dOp1D_R9xss,yWYFHf8m2_s,modernlaiko
BBvIP6suKQo,fqEmGXu8HEk,enallaktiko
fZrMYKG4teQ,fK_Lhpmk8Ow,laiko
ijJodMgQztc,0le65Jq0adI,modernlaiko
RHugDKvzEe0,7UJa4sUbkw0,pop
S7KXTsTLTZg,ARk3sgIZwVM,modernlaiko    
ccphh31Xk2o,DZsyzCmYHAo,entekhno
Bo4dK_ixQoI,sVUrd47qxD0,laiko
BoYx2auNLMc,L4_uzI939ug,rembetiko
K8wPDoKqAj8,kTAK8rHH5Tg,rock
P6gTNUaXefk,g9iiK7q2RC4,entekhno
Zmm8p8W0q6c,Okv2mB38b-A,laiko
U4E6zVwYVjw,YYDKGJY1q8g,rembetiko
xvwAVsEZQgM,c8QIsy_04s0,rock
ilxmPRuWXvY,hEL6H4aIeaE,laiko
1IbmUZUoVQk,2F9ArtKj3I8,entekhno
_UaqMnBOrXI,sliaSXxnNcg,laiko
iF3SPxkRTUc,pGl-lZSHPio,entekhno
Fer7rEcFPK0,_EfAs3Ch48g,entekhno
sBuCy1tvkSE,lF3zt_Gj3uk,entekhno
PFm3yj3-S0E,5LrGmEhEUMA,entekhno
vzF3mIAuzkk,Eds_ME_Ww6I,entekhno
znNNSGlw3Dg,YQkgcL_drjE,laiko
o07zz-Vh2b8,H9Z-L9G3ybM,modernlaiko
JJZl8kDhy3c,9TWzsmcCWRw,laiko
SXWsfWLQ-Is,wu1rj2QEdg4,entekhno
q2fuOOjLhO8,0VKHskfYPA8,entekhno
DlxH_VNpe9M,d8gOFMLb9cg,entekhno
LkqOJNlcUGs,g-EAVZYxHv8,entekhno
zwTfxkcUIDA,qUzUgIm-L8E,enallaktiko
bbV2JYJUflo,oK7SQqpmCOc,rembetiko
2_hc5ywMl7Q,qOw9kl0YUFY,hiphop
hD_8bxmo548,LQMsT4lNG2g,laiko
4fBHQEz7xQ0,uU-mHbLPaOk,entekhno
A20XT4866Yg,p2GUbgccgcw,modernlaiko
plNhXmlXudY,jXFs2guTtXs,modernlaiko
XRH-Gyg9-20,5C7ZtOG5DqQ,modernlaiko
ymxixaYOCWk,LFnVsDk7eAo,enallaktiko
x1tMwmcYgjk,KG6Ts5noKKc,laiko
wL7WtasjQXA,CJFgPuuHG3Q,modernlaiko
jtVmlyigwvY,sbKjD7CLZkY,modernlaiko
oOmFbOhUrKs,rhPErmXGDg4,hiphop
toTQzQUyNVs,u2o-t6-uu-U,modernlaiko
4EExEqwTP-w,9wmN4nUIiZw,hiphop
BUSUxxPKHVY,KtdOEUENVgk,modernlaiko
-U6VJclOtYQ,eMMlO0ADRdc,modernlaiko
x7vPQOvy1yw,o5tKU8ABKLk,entekhno
dWQHnyAQ1Lg,egxP59JXrJo,modernlaiko
v_8xRDs3AIY,LdEPke7mXlk,entekhno
cNdV8ok08vg,Tvh0HsSc7w0,modernlaiko
8Bq9qSbVlOA,6Ye0NOn7nrI,modernlaiko
OiWCePh3u38,WEG6HwIP_6k,laiko
di0rld2AYzU,vNfcRcJEv0U,laiko
pFKQXqpOfoU,KJuQiFTaYMY,entekhno
NYWxU6FJshg,ldY7AmLwMfE,entekhno
TpXcdnxNNag,eojxssdyNVg,entekhno
sY92Al_q9JM,KpcFGBgotp8,modernlaiko
irqLFKZv2ZU,MzeNr2zqkNw,entekhno
YK2K0HHR5FA,5dTeNr6tO84,entekhno
Uijx-YDM3IQ,7hYluL2XGLM,entekhno
5VjVyqDcVlg,1tSyfffAd5c,modernlaiko
KP7gxtZbTdw,3_5PXNvKmkE,entekhno
d5AzaUNVPZ4,dCts5OHOJn0,modernlaiko    
RMGOwM-9WJI,gUsuvYqcpqQ,modernlaiko
2iyhtR0fs24,WIe-W5wNb9c,entekhno
mJj3jftSA-I,RKoZKmhzF9w,laiko
JiFNyYB6xho,aKC8UsSPwdI,laiko
smCPzPqMkXg,fl1IFTrSaiY,laiko
awesvH4UMTk,kHinPjK25MQ,entekhno
zseSgZV-3hM,IfJcRhNHWqA,entekhno      
